#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
STRT00163507	221	0.32698	9.68963623047	1	0.926732	coding
STRT00033500	0	0.396	0.0	-1	0.00368444	noncoding
FTMT20400000988.1	107	0.32686	7.77679443359	-1	0.117054	noncoding
FTMT20400000991.1	18	0.32575	9.30535888672	1	0.00576118	noncoding
MICT00000005554.1	64	0.31648	10.7456665039	1	0.0394149	noncoding
STRT00208778	116	0.30678	11.1389770508	1	0.135886	noncoding
PBT00038183	127	0.32529	9.65557861328	1	0.274562	noncoding
STRT00190195	0	0.36696	0.0	-1	3.59607e-06	noncoding
STRT00024618	29	0.36953	11.0687866211	1	0.01514	noncoding
STRT00202535	22	0.33298	9.30401611328	-1	0.122794	noncoding
STRT00065238	77	0.34314	10.6642456055	1	0.0696739	noncoding
STRT00163521	66	0.36637	6.53106689453	-1	0.0395674	noncoding
STRT00092660	97	0.33112	10.004699707	-1	0.165329	noncoding
ENCT00000023529.1	62	0.28985	10.1168823242	1	0.0326572	noncoding
STRT00100895	39	0.31126	6.69561767578	-1	0.0686202	noncoding
PBT00032869	207	0.30197	9.48443603516	1	0.790537	coding
PBT00038275	123	0.2912	9.16229248047	1	0.172744	noncoding
STRT00111095	145	0.27433	9.83001708984	1	0.224139	noncoding
STRT00173903	145	0.28584	9.83001708984	1	0.253178	noncoding
STRT00043995	108	0.32283	9.54583740234	1	0.153692	noncoding
STRT00024645	145	0.27433	9.83001708984	1	0.224139	noncoding
STRT00061198	78	0.27013	9.03131103516	1	0.0449691	noncoding
STRT00030617	145	0.27433	9.83001708984	1	0.224139	noncoding
STRT00068830	145	0.27433	9.83001708984	1	0.224139	noncoding
STRT00043996	145	0.27097	9.83001708984	1	0.217272	noncoding
STRT00020078	145	0.27433	9.83001708984	1	0.224139	noncoding
STRT00129242	86	0.27433	9.23236083984	1	0.0563335	noncoding
STRT00133470	145	0.28779	9.83001708984	1	0.258945	noncoding
STRT00130686	88	0.32762	6.35650634766	1	0.107878	noncoding
STRT00111096	47	0.35347	8.73760986328	1	0.0172399	noncoding
STRT00104020	74	0.33397	7.72991943359	1	0.0465831	noncoding
STRT00010550	63	0.27643	5.66094970703	1	0.0520387	noncoding
STRT00071487	68	0.32562	9.60357666016	-1	0.154033	noncoding
STRT00071488	34	0.40673	7.84686279297	1	0.0107828	noncoding
STRT00118007	32	0.37557	7.84747314453	-1	0.0413649	noncoding
PBT00032877	108	0.31781	6.40850830078	1	0.231956	noncoding
STRT00110789	94	0.36816	9.14727783203	1	0.162037	noncoding
STRT00001666	61	0.39587	10.2200317383	1	0.0623179	noncoding
STRT00044757	57	0.36299	10.8598022461	-1	0.16571	noncoding
STRT00076901	108	0.33895	6.40850830078	1	0.27719	noncoding
STRT00017883	39	0.40011	6.68218994141	-1	0.022699	noncoding
STRT00029243	64	0.36705	10.9595336914	1	0.0544717	noncoding
PBT00038482	84	0.37026	4.79949951172	1	0.249686	noncoding
STRT00156569	60	0.37886	4.62506103516	1	0.0830567	noncoding
ENCT00000024249.1	74	0.28209	10.903137207	1	0.0484173	noncoding
STRT00110804	57	0.32377	6.67926025391	1	0.0219554	noncoding
STRT00198160	57	0.38563	6.67926025391	1	0.0335008	noncoding
MICT00000008076.1	133	0.28504	9.46051025391	1	0.202319	noncoding
HBMT00000011859.1	93	0.35572	9.18426513672	1	0.134083	noncoding
PBT00033154	82	0.27867	8.01824951172	1	0.0512182	noncoding
FTMT20200001449.1	41	0.38929	9.69488525391	1	0.0212794	noncoding
STRT00191896	0	0.4049	0.0	-1	0.00565163	noncoding
STRT00106784	6	0.39197	3.99884033203	1	0.00452737	noncoding
STRT00044059	43	0.37353	6.70416259766	1	0.0135467	noncoding
STRT00199733	72	0.35623	6.01580810547	1	0.0685038	noncoding
STRT00079790	6	0.31591	3.99884033203	1	0.00391249	noncoding
STRT00139880	18	0.41396	5.06024169922	1	0.00644279	noncoding
STRT00139881	32	0.42916	10.160949707	1	0.0234087	noncoding
STRT00029341	30	0.44149	10.2891235352	1	0.0259873	noncoding
STRT00137375	32	0.37104	10.160949707	1	0.0143534	noncoding
STRT00002299	32	0.34287	10.160949707	1	0.0131567	noncoding
STRT00041945	21	0.47645	12.0165405273	1	0.0400379	noncoding
STRT00131808	39	0.37264	9.97991943359	-1	0.115937	noncoding
STRT00041946	41	0.37387	6.00054931641	1	0.0138412	noncoding
STRT00099273	30	0.43765	10.2891235352	1	0.0245934	noncoding
STRT00105449	5	0.34701	5.58770751953	-1	0.0172287	noncoding
STRT00164231	66	0.32257	6.67681884766	1	0.0338736	noncoding
PBT00038693	66	0.28466	6.67681884766	1	0.0355444	noncoding
HBMT00000012947.1	82	0.34632	9.86077880859	1	0.0827179	noncoding
STRT00208021	45	0.36304	7.83538818359	1	0.014163	noncoding
STRT00102506	43	0.32056	11.3036499023	-1	0.188615	noncoding
FTMT20200001602.1	25	0.36446	9.68817138672	1	0.00895128	noncoding
HBMT00000015306.1	76	0.38409	9.09857177734	1	0.0912793	noncoding
STRT00072728	19	0.44664	9.30474853516	-1	0.0442859	noncoding
HBMT00000062308.1	81	0.31857	9.38336181641	1	0.0595513	noncoding
FTMT20200001621.1	49	0.31771	10.1000366211	1	0.0225466	noncoding
PBT00019705	150	0.27251	9.58953857422	1	0.254378	noncoding
STRT00158179	74	0.42901	4.23846435547	1	0.354082	noncoding
FTMT20100082006.1	33	0.37172	9.86492919922	-1	0.108848	noncoding
FTMT20200001658.1	63	0.39599	12.6026000977	1	0.0393363	noncoding
PBT00038968	84	0.27415	8.90704345703	1	0.0527907	noncoding
STRT00176280	68	0.39661	11.567565918	1	0.0788412	noncoding
PBT00033627	86	0.31538	6.69024658203	1	0.0828198	noncoding
FTMT20100089955.1	39	0.41871	4.34613037109	1	0.0411223	noncoding
STRT00160130	26	0.44756	10.2951049805	-1	0.0812029	noncoding
STRT00203292	68	0.34269	7.00079345703	1	0.0395498	noncoding
STRT00053223	8	0.3552	9.99237060547	1	0.00485758	noncoding
PBT00033773	82	0.28934	9.69488525391	1	0.0534725	noncoding
STRT00147466	44	0.34304	9.23858642578	1	0.0162449	noncoding
STRT00053229	40	0.34868	10.8342895508	1	0.0206128	noncoding
STRT00122962	17	0.3948	8.27508544922	-1	0.0357111	noncoding
STRT00174723	16	0.3666	8.27508544922	-1	0.0494992	noncoding
STRT00012262	80	0.3171	10.9808959961	1	0.0619814	noncoding
STRT00210664	8	0.37319	5.27496337891	-1	0.0117448	noncoding
FTMT20200002564.1	101	0.38516	11.7525024414	1	0.195202	noncoding
STRT00180770	29	0.41339	6.68963623047	1	0.00802089	noncoding
STRT00104822	83	0.36409	8.75811767578	-1	0.0989056	noncoding
STRT00185251	67	0.39444	8.41204833984	1	0.0617082	noncoding
STRT00192293	36	0.41782	10.0283813477	1	0.0240345	noncoding
FTMT20300038127.1	4	0.41721	12.3010864258	-1	0.154743	noncoding
STRT00116559	25	0.41062	10.7630004883	-1	0.115942	noncoding
STRT00075441	0	0.40207	0.0	-1	0.00492382	noncoding
FTMT20200005079.1	9	0.34205	11.0003051758	1	0.00738553	noncoding
STRT00036615	66	0.38977	9.66265869141	1	0.0670561	noncoding
PBT00034235	130	0.30031	7.48712158203	1	0.310817	noncoding
ENCT00000009685.1	101	0.32477	9.72991943359	1	0.125469	noncoding
MICT00000017756.1	64	0.3407	8.61273193359	1	0.0330566	noncoding
STRT00190259	14	0.30453	4.35198974609	1	0.00595969	noncoding
ENCT00000010292.1	96	0.30524	8.72161865234	1	0.0878265	noncoding
MICT00000017786.1	98	0.38673	5.86676025391	-1	0.0453324	noncoding
HBMT00000025641.1	137	0.31676	8.47808837891	1	0.364844	noncoding
STRT00135910	67	0.41195	10.0293579102	-1	0.110933	noncoding
STRT00032110	65	0.34756	9.43377685547	1	0.0412683	noncoding
STRT00157900	98	0.36166	6.47894287109	1	0.227139	noncoding
PBT00040055	63	0.2785	9.30084228516	1	0.0295411	noncoding
STRT00181457	21	0.39861	5.75274658203	1	0.00527814	noncoding
FTMT20100020125.1	66	0.29368	7.60833740234	1	0.0289198	noncoding
STRT00097280	57	0.32143	9.86029052734	1	0.0282825	noncoding
STRT00165158	38	0.37022	10.4463500977	-1	0.1384	noncoding
PBT00040129	50	0.32237	9.81976318359	1	0.0220685	noncoding
STRT00100067	20	0.4443	10.2949829102	-1	0.0777431	noncoding
FTMT20200007010.1	40	0.35561	11.7113647461	1	0.0210786	noncoding
FTMT20100084510.1	44	0.29268	9.20135498047	1	0.0154637	noncoding
FTMT20200007080.1	27	0.39546	7.85968017578	1	0.00669898	noncoding
ENCT00000032377.1	83	0.33775	10.4481811523	1	0.0806984	noncoding
STRT00088461	80	0.34944	10.2874145508	1	0.0813521	noncoding
STRT00086260	90	0.2984	9.83673095703	1	0.0708505	noncoding
STRT00025756	234	0.30373	9.10577392578	1	0.926615	coding
HBMT00000031047.1	71	0.3466	9.91949462891	1	0.0554595	noncoding
STRT00130281	34	0.40581	5.92816162109	1	0.011979	noncoding
MICT00000022251.1	94	0.36955	10.7177124023	1	0.163691	noncoding
STRT00052570	94	0.34739	10.7177124023	1	0.125672	noncoding
STRT00033944	94	0.41389	10.7177124023	1	0.293619	noncoding
FTMT20400006800.1	38	0.34448	4.47137451172	1	0.0181934	noncoding
MICT00000022648.1	90	0.3173	9.16229248047	1	0.0794699	noncoding
ENCT00000013013.1	177	0.29264	11.4201049805	1	0.320758	noncoding
STRT00027346	41	0.33859	8.38287353516	1	0.011385	noncoding
PBT00035680	54	0.32818	12.1305541992	1	0.0272834	noncoding
STRT00094279	61	0.31465	11.5473022461	1	0.0361427	noncoding
PBT00035692	69	0.27863	9.62652587891	1	0.036718	noncoding
STRT00027381	42	0.42156	5.24224853516	1	0.0298467	noncoding
ENCT00000033926.1	136	0.36702	10.9840698242	1	0.473913	noncoding
MICT00000025085.1	39	0.39738	4.31610107422	1	0.0339054	noncoding
FTMT20200008415.1	77	0.28243	11.785949707	1	0.0499389	noncoding
ENCT00000034368.1	91	0.30849	11.9196166992	1	0.0646004	noncoding
FTMT20200008505.1	48	0.34562	6.04913330078	-1	0.0349478	noncoding
PBT00035914	68	0.30303	6.95562744141	1	0.0340248	noncoding
PBT00035936	52	0.3076	7.75433349609	1	0.0161147	noncoding
FTMT20400007941.1	41	0.3663	9.30255126953	1	0.0162964	noncoding
STRT00181879	29	0.4063	5.75006103516	1	0.00928472	noncoding
ENCT00000034829.1	267	0.29385	7.47003173828	1	0.991506	coding
STRT00037713	317	0.31802	8.24053955078	1	0.99919	coding
STRT00111262	88	0.32232	5.56353759766	1	0.142035	noncoding
STRT00134837	23	0.38897	9.98443603516	-1	0.094496	noncoding
STRT00136111	25	0.40127	9.43450927734	1	0.00991226	noncoding
STRT00168349	4	0.38937	5.27496337891	1	1.19713e-05	noncoding
STRT00097615	74	0.39765	6.52435302734	1	0.1021	noncoding
STRT00082513	82	0.34783	10.4248657227	1	0.0860953	noncoding
STRT00030073	28	0.36707	7.93975830078	1	0.00614164	noncoding
STRT00085725	62	0.43258	6.51531982422	1	0.0723429	noncoding
STRT00044418	39	0.30753	9.30267333984	1	0.012956	noncoding
STRT00132911	39	0.34521	9.30267333984	1	0.013533	noncoding
STRT00030080	53	0.47286	9.62677001953	1	0.113767	noncoding
STRT00069520	49	0.4693	5.75189208984	1	0.0430526	noncoding
STRT00065715	53	0.37953	9.62677001953	1	0.0334672	noncoding
STRT00098227	33	0.42119	6.51715087891	1	0.0111098	noncoding
STRT00120209	53	0.42404	9.62677001953	1	0.0543844	noncoding
STRT00126223	85	0.28648	9.09820556641	1	0.0555281	noncoding
PBT00041337	72	0.32854	8.72149658203	1	0.0428445	noncoding
STRT00198741	95	0.2831	9.93719482422	1	0.0749569	noncoding
ENCT00000016098.1	96	0.27651	11.3648071289	1	0.0733018	noncoding
STRT00114506	36	0.32481	7.99920654297	1	0.00827231	noncoding
STRT00058136	115	0.41521	10.458190918	1	0.544076	coding
STRT00209990	0	0.28231	0.0	-1	8.93995e-07	noncoding
PBT00036478	75	0.32258	7.73297119141	1	0.0450292	noncoding
STRT00085484	40	0.40506	10.7129516602	1	0.0290843	noncoding
STRT00126652	37	0.45741	7.97723388672	1	0.0207843	noncoding
ENCT00000036720.1	24	0.39517	5.89569091797	1	0.00596127	noncoding
PBT00036578	87	0.28002	5.42291259766	1	0.155777	noncoding
STRT00019351	28	0.41099	11.7339477539	1	0.0184311	noncoding
PBT00036654	38	0.36009	9.62469482422	1	0.0151314	noncoding
STRT00162816	53	0.32923	9.18304443359	1	0.0217803	noncoding
STRT00162335	43	0.47341	5.95965576172	1	0.0274258	noncoding
STRT00039027	14	0.3871	8.51934814453	1	0.00377031	noncoding
STRT00016290	35	0.36244	8.49798583984	1	0.00970243	noncoding
STRT00099768	54	0.40123	4.51251220703	1	0.0799939	noncoding
STRT00044460	54	0.38674	4.51251220703	1	0.0678806	noncoding
STRT00159125	67	0.32048	5.67401123047	1	0.048256	noncoding
PBT00041595	89	0.34907	11.2130737305	1	0.10254	noncoding
ENCT00000017652.1	80	0.29343	5.52764892578	1	0.0997171	noncoding
STRT00056450	45	0.44876	9.78167724609	1	0.0536352	noncoding
STRT00167169	18	0.41135	9.00750732422	-1	0.0457245	noncoding
ENCT00000017838.1	103	0.2912	11.165222168	1	0.0898892	noncoding
PBT00036829	90	0.30706	10.4921264648	1	0.0766612	noncoding
STRT00080042	62	0.34694	7.69293212891	-1	0.0699179	noncoding
STRT00031520	67	0.37178	11.5816040039	1	0.0581586	noncoding
STRT00215160	16	0.31344	5.89764404297	1	0.00335652	noncoding
STRT00193430	48	0.41736	5.22113037109	-1	0.0198639	noncoding
ENCT00000018250.1	90	0.33751	7.82525634766	1	0.0970366	noncoding
STRT00202440	72	0.37496	5.69256591797	1	0.0932931	noncoding
STRT00107585	102	0.38634	12.0045776367	1	0.181832	noncoding
STRT00215177	32	0.29517	5.30157470703	-1	0.0523043	noncoding
STRT00174994	93	0.36744	11.7123413086	1	0.123534	noncoding
MICT00000031962.1	102	0.27674	6.23785400391	1	0.181741	noncoding
PBT00041848	161	0.30706	8.54034423828	1	0.551451	coding
STRT00066540	134	0.35992	10.7617797852	1	0.436481	noncoding
PBT00041849	105	0.27379	6.37872314453	1	0.190928	noncoding
MICT00000032133.1	87	0.29526	6.56243896484	1	0.0853528	noncoding
PBT00041910	242	0.35289	11.2372436523	1	0.956294	coding
PBT00041911	242	0.38976	11.2372436523	1	0.990082	coding
PBT00041912	242	0.34917	11.2372436523	1	0.949397	coding
STRT00083989	47	0.38845	11.2916870117	1	0.0339518	noncoding
STRT00111318	47	0.36246	11.2916870117	1	0.0284484	noncoding
STRT00070979	47	0.34884	11.2916870117	1	0.0268103	noncoding
STRT00106954	38	0.42166	10.0220336914	1	0.0276855	noncoding
STRT00035041	83	0.27433	9.26629638672	1	0.051976	noncoding
STRT00070983	92	0.27433	11.4846801758	1	0.0677303	noncoding
MICT00000033045.1	92	0.27433	11.4846801758	1	0.0677303	noncoding
STRT00044530	92	0.27433	11.4846801758	1	0.0677303	noncoding
STRT00016957	92	0.27433	11.4846801758	1	0.0677303	noncoding
STRT00170805	92	0.27937	11.4846801758	1	0.0674898	noncoding
ENCT00000039215.1	92	0.26785	11.4846801758	1	0.0687999	noncoding
ENCT00000039218.1	58	0.25816	9.22491455078	1	0.0291722	noncoding
STRT00082893	92	0.26785	11.4846801758	1	0.0687999	noncoding
STRT00172765	92	0.29655	11.4846801758	1	0.0699627	noncoding
STRT00047568	53	0.28157	8.80462646484	1	0.0198941	noncoding
STRT00208391	92	0.29655	11.4846801758	1	0.0699627	noncoding
STRT00178921	92	0.29655	11.4846801758	1	0.0699627	noncoding
STRT00063174	92	0.30303	11.4846801758	1	0.0720762	noncoding
STRT00074428	92	0.33562	11.4846801758	1	0.0919969	noncoding
STRT00101476	92	0.33061	11.4846801758	1	0.0878827	noncoding
STRT00123542	92	0.33061	11.4846801758	1	0.0878827	noncoding
STRT00159189	46	0.32914	6.70233154297	1	0.0128184	noncoding
STRT00159190	92	0.27289	11.4846801758	1	0.0678906	noncoding
STRT00177188	70	0.28458	6.80426025391	1	0.0403895	noncoding
STRT00201647	70	0.30159	6.80426025391	1	0.0383729	noncoding
STRT00202450	92	0.27433	11.4846801758	1	0.0677303	noncoding
STRT00202451	92	0.26785	11.4846801758	1	0.0687999	noncoding
STRT00209023	92	0.27289	11.4846801758	1	0.0678906	noncoding
STRT00118246	92	0.29655	11.4846801758	1	0.0699627	noncoding
STRT00198994	46	0.32209	6.70233154297	1	0.0127454	noncoding
STRT00069181	70	0.30387	6.80426025391	1	0.0383477	noncoding
STRT00159191	92	0.30159	11.4846801758	1	0.0715537	noncoding
PBT00041915	46	0.33418	6.70233154297	1	0.0129506	noncoding
STRT00156529	92	0.33562	11.4846801758	1	0.0919969	noncoding
STRT00137233	46	0.32914	6.70233154297	1	0.0128184	noncoding
PBT00041916	46	0.28157	6.70233154297	1	0.0158242	noncoding
STRT00161544	92	0.31852	11.4846801758	1	0.0795784	noncoding
STRT00099793	92	0.27814	11.4846801758	1	0.067504	noncoding
STRT00175607	92	0.3201	11.4846801758	1	0.0805385	noncoding
STRT00132968	46	0.39726	6.70233154297	1	0.0196243	noncoding
STRT00104303	46	0.36808	6.70233154297	1	0.0154183	noncoding
STRT00016956	46	0.36491	6.70233154297	1	0.0150751	noncoding
STRT00097390	54	0.40022	9.49322509766	-1	0.0850579	noncoding
STRT00143183	70	0.31204	6.80426025391	1	0.038668	noncoding
STRT00057262	46	0.33218	6.70233154297	1	0.0128904	noncoding
STRT00178922	46	0.38566	6.70233154297	1	0.0177328	noncoding
STRT00031572	58	0.3568	9.22491455078	1	0.0318671	noncoding
STRT00210039	46	0.38339	6.70233154297	1	0.0173955	noncoding
STRT00077671	70	0.27289	6.80426025391	1	0.0441456	noncoding
STRT00076795	33	0.4178	4.14215087891	1	0.0318114	noncoding
STRT00049714	46	0.36665	6.70233154297	1	0.0152607	noncoding
PBT00041917	46	0.39857	6.70233154297	1	0.0198545	noncoding
PBT00041924	160	0.29997	8.07122802734	1	0.550159	coding
FTMT20400011867.1	16	0.32411	8.49639892578	1	0.00395492	noncoding
STRT00196229	117	0.35961	9.95892333984	1	0.314434	noncoding
STRT00156296	103	0.32538	8.85870361328	1	0.136034	noncoding
STRT00045326	103	0.3717	8.85870361328	1	0.238267	noncoding
STRT00008532	76	0.3872	10.3026733398	1	0.106152	noncoding
PBT00042006	121	0.37279	10.1152954102	1	0.406008	noncoding
PBT00042007	87	0.26987	10.3359985352	1	0.0619761	noncoding
PBT00042008	75	0.28899	9.47332763672	1	0.04268	noncoding
PBT00042083	80	0.31674	11.3713989258	1	0.0596523	noncoding
PBT00042102	93	0.32201	7.51531982422	1	0.0986299	noncoding
STRT00187907	29	0.4222	9.69952392578	1	0.016036	noncoding
STRT00169547	35	0.41104	6.06842041016	1	0.0127811	noncoding
STRT00247121	62	0.38799	8.63580322266	1	0.0461111	noncoding
STRT00305003	149	0.2953	9.98333740234	1	0.300721	noncoding
STRT00229299	43	0.37976	6.67901611328	1	0.0142467	noncoding
STRT00277968	53	0.37339	6.47601318359	1	0.0247359	noncoding
STRT00258108	29	0.415	7.96136474609	1	0.0088413	noncoding
MICT00000037480.1	83	0.31793	9.40228271484	1	0.063613	noncoding
STRT00239899	137	0.28698	5.06256103516	1	0.725288	coding
STRT00226882	104	0.31172	9.27410888672	1	0.120425	noncoding
STRT00243298	121	0.28467	9.84881591797	1	0.144624	noncoding
STRT00242107	121	0.28467	9.84881591797	1	0.144624	noncoding
STRT00220779	104	0.27618	9.27410888672	1	0.0919954	noncoding
STRT00246321	104	0.32345	9.27410888672	1	0.136755	noncoding
STRT00226880	104	0.34785	9.27410888672	1	0.183226	noncoding
FTMT23700036692.1	65	0.43703	10.0518188477	1	0.127247	noncoding
STRT00264150	121	0.31144	9.84881591797	1	0.192664	noncoding
STRT00244192	58	0.41878	10.0303344727	1	0.0702515	noncoding
STRT00264797	68	0.46694	5.97894287109	1	0.132702	noncoding
STRT00258689	121	0.3227	9.84881591797	1	0.221686	noncoding
STRT00274995	104	0.30324	9.62347412109	1	0.110191	noncoding
STRT00287609	121	0.29244	9.84881591797	1	0.15563	noncoding
STRT00267860	121	0.29367	9.84881591797	1	0.157588	noncoding
STRT00286355	121	0.28644	9.84881591797	1	0.146926	noncoding
STRT00291611	121	0.2765	9.84881591797	1	0.135553	noncoding
STRT00220780	58	0.38204	10.0303344727	1	0.0460488	noncoding
STRT00267593	79	0.32546	9.75946044922	1	0.0608177	noncoding
STRT00295512	121	0.30345	9.84881591797	1	0.175301	noncoding
STRT00234058	97	0.33931	6.01556396484	1	0.200722	noncoding
STRT00277119	68	0.35596	5.97894287109	1	0.0557832	noncoding
STRT00248356	63	0.35952	4.73431396484	1	0.0757841	noncoding
STRT00251840	69	0.42628	10.2461547852	1	0.132909	noncoding
STRT00248745	58	0.35746	10.0303344727	1	0.037276	noncoding
STRT00234849	58	0.41964	10.0303344727	1	0.0710673	noncoding
STRT00243769	91	0.45089	9.66168212891	-1	0.112169	noncoding
STRT00233030	65	0.44931	5.23907470703	1	0.143541	noncoding
STRT00310438	67	0.46453	4.98907470703	1	0.176696	noncoding
STRT00298791	121	0.30993	9.84881591797	1	0.189179	noncoding
STRT00262233	121	0.32518	9.84881591797	1	0.228806	noncoding
PBT00057661	121	0.3594	9.84881591797	1	0.353472	noncoding
STRT00255393	82	0.387	10.2744750977	1	0.134104	noncoding
STRT00294539	121	0.32445	9.84881591797	1	0.226683	noncoding
STRT00248746	90	0.44113	7.95416259766	1	0.308975	noncoding
STRT00305372	77	0.29772	5.13104248047	1	0.10545	noncoding
ENCT00000044262.1	58	0.35541	8.89105224609	1	0.0295901	noncoding
ENCT00000044283.1	93	0.33002	10.2930297852	1	0.102881	noncoding
PBT00055484	129	0.28923	11.8086547852	1	0.121486	noncoding
STRT00249658	44	0.30464	6.24713134766	1	0.0131937	noncoding
PBT00055496	93	0.2895	6.09942626953	1	0.13247	noncoding
STRT00228783	53	0.3489	4.94464111328	1	0.0350949	noncoding
STRT00286914	33	0.369	8.49676513672	1	0.00908295	noncoding
STRT00242304	48	0.37276	8.49676513672	1	0.0195498	noncoding
STRT00299524	25	0.38077	10.0009155273	1	0.0105743	noncoding
PBT00057710	229	0.29504	11.1080932617	1	0.666127	coding
PBT00057770	67	0.30936	5.50531005859	1	0.0519327	noncoding
STRT00282234	128	0.27838	11.7085571289	-1	0.0786636	noncoding
STRT00276692	0	0.30046	0.0	-1	5.16063e-07	noncoding
STRT00277532	65	0.36107	4.68829345703	1	0.0883905	noncoding
STRT00245387	75	0.36028	9.98968505859	1	0.0740489	noncoding
STRT00267620	65	0.37553	9.69085693359	1	0.0553586	noncoding
STRT00279815	144	0.41797	9.77252197266	1	0.854946	coding
STRT00278954	54	0.39248	4.32464599609	1	0.0816405	noncoding
PBT00055774	188	0.26767	9.90533447266	1	0.427871	noncoding
ENCT00000045403.1	87	0.32351	10.8473510742	1	0.0794334	noncoding
ENCT00000054697.1	161	0.30857	7.61920166016	1	0.644927	coding
ENCT00000054699.1	161	0.27987	7.61920166016	1	0.531915	coding
STRT00276206	130	0.36837	12.336730957	1	0.243386	noncoding
PBT00058003	130	0.32354	12.336730957	1	0.131767	noncoding
STRT00242951	10	0.37612	4.53387451172	1	0.00374678	noncoding
PBT00058148	103	0.29035	10.2073364258	1	0.0955086	noncoding
FTMT23800002890.1	164	0.33207	5.29180908203	1	0.936265	coding
STRT00317388	0	0.36109	0.0	-1	2.41429e-06	noncoding
STRT00302885	52	0.35994	8.88385009766	1	0.0232954	noncoding
PBT00056058	88	0.32961	6.90863037109	1	0.0942942	noncoding
ENCT00000046354.1	64	0.34618	9.35748291016	-1	0.12564	noncoding
STRT00277002	69	0.34388	5.31903076172	1	0.0693968	noncoding
STRT00236381	75	0.3442	9.51165771484	1	0.0602195	noncoding
STRT00309766	3	0.38211	5.27496337891	1	9.71857e-06	noncoding
STRT00286234	0	0.35801	0.0	-1	1.98881e-06	noncoding
STRT00244425	28	0.36032	9.05792236328	-1	0.0840944	noncoding
STRT00256743	15	0.44049	7.97698974609	-1	0.0216776	noncoding
STRT00237002	15	0.4885	7.97698974609	-1	0.0185391	noncoding
STRT00289396	74	0.31255	9.65069580078	1	0.0464158	noncoding
STRT00309342	77	0.27517	9.17852783203	-1	0.170633	noncoding
ENCT00000056745.1	80	0.29033	10.028503418	1	0.0523584	noncoding
STRT00263182	57	0.40871	8.81597900391	-1	0.0611454	noncoding
STRT00296911	35	0.3217	10.0601196289	1	0.0140318	noncoding
STRT00303262	26	0.36954	5.14337158203	1	0.00732245	noncoding
STRT00271687	138	0.32066	10.4212036133	1	0.306996	noncoding
